County,ISD,Sunscreen Use,UV Protective Clothing,Hats,Student Education,Teacher Education,Outdoor Shade,Scheduling,Parent Outreach,Resource Allocatoin,Accountability,Modeling
Panola,Beckville,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Panola,Carthage,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Panola,Gary,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Marion,Avinger,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Marion,Jefferson,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Shelby,Center,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Shelby,Excelsior,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Shelby,Joaquin,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Shelby,Tenaha,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Shelby,Timpson,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Harrrison,Hallsville,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Harrrison,Harleton,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Harrrison,Karnack,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Harrrison,Marshall,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Harrrison,Waskom,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Cass,Atlanta,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Cass,Bloomburg,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Cass,Hughes Spring,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Cass,Linden-Kildare,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Cass,Mcleod,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Cass,Queen City,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Hockey,Anton,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Hockey,Levelland,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Hockey,Ropes,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Hockey,Sundown,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Hockey,Whitharral,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Rusk,Carlisle,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Rusk,Henderson,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Rusk,Laneville,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Rusk,Leveretts Chapel,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Rusk,Mount Enterprise,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Rusk,Overton,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Rusk,Tatum,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Rusk,West Rusk County,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Rusk,Garrison,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Rusk,Kilgore,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Upshur,Big Sandy,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Upshur,Gilmer,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Upshur,Harmony,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Upshur,New Diana,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Upshur,Ore City,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Upshur,Union Grove,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Upshur,Union Hill,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Sabine,Hemphill,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Sabine,West Sabine,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Anderson,Cayuga,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Anderson,Elkhart,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Anderson,Frankston,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Anderson,Nevhes,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Anderson,Palestine,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Anderson,Slocrum,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
Anderson,Westwood,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
