County,ISD,Sunscreen Use,UV Protective Clothing,Hats,Student Education,Teacher Education,Outdoor Shade,Scheduling,Parent Outreach,Resource Allocatoin,Accountability,Modeling
Panola,Beckville,1,0,0,0,0,0,0,0,0,0,0
Panola,Carthage,1,0,0,0,0,0,0,0,0,0,0
Panola,Gary,1,0,0,0,0,0,0,0,0,0,0
Marion,Avinger,1,0,0,0,0,0,0,0,0,0,0
Marion,Jefferson,1,0,0,0,0,0,0,0,0,0,0
Shelby,Center,1,0,0,0,0,1,0,0,0,0,0
Shelby,Excelsior,1,0,0,0,0,0,0,0,0,0,0
Shelby,Joaquin,1,0,0,0,0,0,0,0,0,0,0
Shelby,Tenaha,1,0,0,0,0,0,0,0,0,0,0
Shelby,Timpson,0,0,0,0,0,0,0,1,0,0,0
Harrrison,Hallsville,1,0,0,0,0,0,0,0,0,0,0
Harrrison,Harleton,1,0,0,0,0,0,0,0,0,0,0
Harrrison,Karnack,1,0,0,0,0,0,0,0,0,0,0
Harrrison,Marshall,1,0,0,0,0,0,0,0,0,0,0
Harrrison,Waskom,1,0,0,0,0,0,0,0,0,0,0
Cass,Atlanta,1,0,0,0,0,0,0,0,0,0,0
Cass,Bloomburg,1,0,0,0,0,0,0,0,0,0,0
Cass,Hughes Spring,1,0,0,0,0,0,0,0,0,0,0
Cass,Linden-Kildare,1,0,0,0,0,0,0,0,0,0,0
Cass,Mcleod,1,0,0,0,0,0,0,0,0,0,0
Cass,Queen City,1,0,0,0,0,0,0,0,0,0,0
Hockey,Anton,1,0,0,0,0,0,0,0,0,0,0
Hockey,Levelland,1,0,0,0,0,1,0,1,1,0,0
Hockey,Ropes,1,0,0,0,0,0,0,0,0,0,0
Hockey,Sundown,0,0,0,0,0,0,0,0,0,0,0
Hockey,Whitharral,1,0,0,0,0,0,0,0,0,0,0
Rusk,Carlisle,1,0,0,0,0,0,0,0,0,0,0
Rusk,Henderson,1,0,0,0,0,0,0,0,0,0,0
Rusk,Laneville,1,0,0,0,0,0,0,0,0,0,0
Rusk,Leveretts Chapel,1,0,0,0,0,0,0,0,0,0,0
Rusk,Mount Enterprise,1,0,0,0,0,0,0,0,0,0,0
Rusk,Overton,1,0,0,0,0,0,0,0,0,0,0
Rusk,Tatum,1,0,0,0,0,0,0,0,0,0,0
Rusk,West Rusk County,1,0,0,0,0,0,0,0,0,0,0
Rusk,Garrison,1,0,0,0,0,0,0,0,0,0,0
Rusk,Kilgore,1,0,0,0,0,0,0,0,0,0,0
Upshur,Big Sandy,1,0,0,0,0,0,0,0,0,0,0
Upshur,Gilmer,1,0,0,0,0,0,0,0,0,0,0
Upshur,Harmony,1,0,0,0,0,0,0,0,0,0,0
Upshur,New Diana,1,0,0,0,0,0,0,0,0,0,0
Upshur,Ore City,1,0,0,0,0,0,0,0,0,0,0
Upshur,Union Grove,1,0,0,0,0,0,0,0,0,0,0
Upshur,Union Hill,1,0,0,0,0,0,0,0,0,0,0
Sabine,Hemphill,1,0,0,0,0,0,0,0,0,0,0
Sabine,West Sabine,1,0,0,0,0,0,0,0,0,0,0
Anderson,Cayuga,1,0,0,0,0,0,0,0,0,0,0
Anderson,Elkhart,1,0,0,0,0,0,0,0,0,0,0
Anderson,Frankston,1,0,0,0,0,0,0,0,0,0,0
Anderson,Nevhes,1,0,0,0,0,0,0,0,0,0,0
Anderson,Palestine,1,0,0,0,0,0,0,0,0,0,0
Anderson,Slocrum,0,0,0,0,0,0,0,0,0,0,0
Anderson,Westwood,1,0,0,0,0,0,0,0,0,0,0
