ISD,Community Type,Property Wealth,TAX Rate,Total number of enrolled sutdents,Number of Schools in the District,% of Students Identify as Black,% of Students Identify as Hispanic,% of Students Identify as Caucasian,% of Students Identify as American Indian,% of Students Identify as Asian,% of Students Identify as Pacific Islander,Percent of Students Economically Disadvantaged,# of Students Enrolled in ESL Classes,Total Staff (FTE),Total Number of Teachers (FTE),Number of Students per Teacher,Number of students per total staff,(Staff) % Central Administrative,(Staff) % School Administritative,(Staff)  % Teachers,(Staff) % Educational Aides,(Staff) %Auxillary,% of teachers who Identify as Black,% of teachers who Identify as Hispanic,% of teachers who Identify as Caucasian,% of teachers who Identify as American Indian,% of teachers who Identify as Asian,% of teachers who Identify as Pacific Islander,% of Teachers who Identify as Female,% of Teachers who Identify as Male,Toral Operating and Other Revenue (2020-2021) ($),Toral Operating and Other Revenue per Pupil (2020-2021) ($),Total Actual Expenditures (2020-2021) ($),Total Actual Operating Expenditures per Pupil ($),# of School Nurses,"Median Household Income (if required, can family afford hat/sunscreen)","Median Household Income (if required, can family afford hat/sunscreen) - Parents ","Median Household Income (if required, can family afford hat/sunscreen) - Community",Teacher Turnover Rate,% of students graduating
Austin,Major Urban,"$1,892,208 and over",$1.0809 to under $1.2148,71883,123,6.3,54.4,30.9,0.2,4.4,0.1,50.9,32.5,10564.8,5227.8,13.8,6.8,0.6,3.1,49.5,10.1,26.2,5.9,34.4,55.2,0.2,2.9,0.1,,,1043562227,13965,1348176826,12609,30,47811,102597,85017,18.1,96.3
Bartlett,Rural,"$340,843 to < $359,962",$1.0809 to under $1.2148,6796,9,3.7,27.9,63.3,0.3,1.4,0,26.5,4.2,1032.6,495.3,13.7,5.7,1.5,8.7,47.9,17,21.7,2,7.5,89.7,0,0.2,0,,,143396533,22371,213376860,17378,1,31822,57137,55524,32,100
Belton,Other Central City,"$298,152 to < $340,843",$1.3239 and over,2191,5,7.2,31.4,57.9,0.2,0.3,0.1,45.3,9.5,337.6,168,13,6.8,1.1,2.9,47.6,10,28.8,3,4.8,91.7,0,0,0,,,29442916,13481,28733480,11158,22,73590,81169,103699,15.5,97.4
Boerne,Major Suburban,"$710,768 to < $836,577",$1.2148 to under $1.3239,2362,4,21.1,76,1.1,0.3,0.4,0.1,87.6,70.2,321.3,144.7,16.3,8.4,1.2,2.9,53.7,8.7,23.3,27.6,42.1,25.6,0,3.5,0,,,28318848,11874,22785603,9333,1,82982,120003,151339,13.4,99
Bushland,Other Central City,"$949,515 to < $1,039,446",$1.0809 to under $1.2148,519,2,9.2,16.8,69.9,0.4,0,0.2,48.2,4.6,82.4,47,11,8,1.7,2.2,62.4,13,15.6,2.1,0,95.7,0,2.1,0,,,8321971,17446,7881941,14199,4,133272,102836,133346,12.2,99.2
Canyon,Other Central City,"$526,224 to < $539,089",$1.2148 to under $1.3239,6076,10,1,93,4.7,0.1,0.5,0,61,35.5,954.4,414.3,14.7,8.2,1.1,3.1,50.8,10.3,26,1,82.1,15,0.2,1.2,0,,,103678944,17214,88378913,13079,21,67631,87253,117771,12.9,96.2
Comal,Major Suburban,"$836,577 to < $949,515",$1.2148 to under $1.3239,27190,35,2.7,39.9,51.7,0.2,1.5,0.2,29.8,5.6,3293.2,1710.5,15.9,8.3,1.2,2.8,51.9,10.6,19.3,1.4,18.5,78.1,0.2,0.4,0.1,,,311887090,12295,380211940,9647,37,46860,120935,100373,16.6,98.5
Comfort,Non-metropolitan Stable,"$836,577 to < $949,515",$1.2148 to under $1.3239,1303,4,0.2,52.9,45,0.4,0.5,0,61.1,15.3,225.6,108.3,12,7.3,2.1,4.5,58.7,8.1,18.1,0.9,16.3,79.2,0.9,0,0,,,18920313,14399,20098725,11267,2,63079,89517,86022,31.4,98.8
Conroe,Other Central City,"$602,435 to < $674,066",$1.0809 to under $1.2148,67490,61,9.1,38.5,43.3,0.4,4.9,0.2,40.5,17.2,8492.3,4239.6,15.9,7.9,0.5,2.6,49.9,9.6,26.6,6.4,16.2,74.7,0.4,1.2,0.1,,,740688186,11520,872824747,9498,80,77211,99335,121060,13.9,96.5
Coupland,Rural,"$602,435 to < $674,066",$1.0809 to under $1.2148,263,1,0,54.4,40.7,0.8,2.3,0,57.4,28.5,38.6,20.8,12.6,6.8,1.3,3.9,54,10.1,28.2,0,0,95.2,4.8,0,0,,,2809244,16238,8097360,11960,,83750,108036,97500,6.5,
Del Valle,Major Suburban,"$710,768 to < $836,577",$1.2148 to under $1.3239,10853,14,8.9,83.7,4.6,0.1,1.1,0,89.3,47.5,1698.6,769.7,14.1,6.4,1.3,2.5,45.3,9.3,30.7,6.5,41.4,49.4,0.1,1.7,0.3,,,148234234,13929,172767316,11942,1,47116,79213,74316,21.2,94.4
Dropping Springs,Major Suburban,"$836,577 to < $949,515",$1.3239 and over,692,1,0,99,0.4,0,0.6,0,100,92.3,83.6,30.6,22.6,7.7,1.1,2.1,53.5,9.9,22.7,9.8,48.3,19.1,0,22.9,0,,,9075742,12837,7831003,11076,8,164345,197658,145240,16.8,98.6
Eanes,Major Suburban,"$1,892,208 and over",$1.0809 to under $1.2148,7809,10,0.8,15.2,64.6,0.1,13.3,0.1,3.6,2.3,1083,599.8,13,7.2,1.4,2.7,55.4,8.1,21.6,1.2,12.3,82.5,0.7,2,0.2,,,103178253,12980,132195031,10652,9,92731,250001,182966,20.7,99.4
Florence,Non-metropolitan Stable,"$456,750 to < $479,670",$1.2148 to under $1.3239,1114,4,0.8,49.7,46.9,0.3,0.3,0.1,61.8,28.5,174.3,84.6,13.2,6.4,2.9,2.4,48.5,10.5,27.6,0,9.5,88.2,0,1.2,0,,,15909828,14841,18129240,13462,1,51875,105655,77597,24.9,96.6
Fort Bend,Major Urban,"$573,876 to < $602,435",$1.2148 to under $1.3239,76543,82,27.8,26.6,14.7,0.4,26.7,0.1,47.8,18.1,10393.3,5002.6,15.3,7.4,0.4,2.5,48.1,10,26.2,33.4,16.1,40.6,0.1,7.5,0.2,,,894451679,11697,1149618940,10797,3,100192,104262,113373,16,94.7
Georgetown,Other Central City,"$949,515 to < $1,039,446",$1.2148 to under $1.3239,12566,21,5,44.3,43.5,0.4,2.1,0.2,34.9,18.2,1815.8,955.9,13.1,6.9,1,2.6,52.6,10.4,22.7,1.6,18.4,78.1,0.1,1,0,,,172790622,14610,216355537,11493,8,87465,52681,59782,17.9,93.9
Glen Rose,Non-metropolitan Stable,"$1,039,446 to < $1,892,208",Under $1.0809,1982,4,0.8,28.2,66.5,0.7,1,0.1,36.2,9.5,263.2,144.7,13.7,7.5,1.6,3,55,8.7,25.3,0,11.6,87.1,1.4,0,0,,,29063475,15185,26070780,12318,0,89346,117500,88507,15.6,97.2
Granbury,Other Central City,"$836,577 to < $949,515",$1.0809 to under $1.2148,2293,4,1.3,30.7,65.1,0.3,0.2,0.1,58.9,10.5,331.7,165.4,13.9,7.5,1,2.7,51.9,13.4,22.6,0.6,8.1,89.5,0.6,0,0,,,30190574,13271,27696694,10626,9,68740,80137,115825,19.5,95.2
Granger,Rural,"$359,962 to < $411,857",Under $1.0809,506,1,2.2,47.4,47.2,0,0.4,0,61.5,15,79.5,40.3,12.5,6.4,1.3,3.8,50.7,12.6,25.8,0,14.9,82.6,0,2.5,0,,,6219115,13851,5966696,12943,1,58917,,69890,23.9,93.3
Hays,Major Suburban,"$479,670 to < $526,224",$1.3239 and over,765,3,0.8,20.3,77,0.1,0.1,0.3,51.9,0.4,135.4,79.8,9.6,7.3,1.1,2.6,49.7,8.9,27,0,7.5,91.2,0,0,0,,,11693699,14992,10650520,11998,30,83980,99939,90991,14.1,92.1
Holland,Rural,"$164,606 to < $234,712",$1.0809 to under $1.2148,1715,5,38.9,34.4,22.4,0.1,0.5,0,79.9,7.5,287.5,110.3,15.6,5.3,3.6,1.9,49.7,12.1,28.3,19,10.9,67.4,0,0.9,0,,,28740651,17482,28910324,15048,2,53000,73250,89583,12.3,98
Hutto,Other Central City,"$479,670 to < $526,224",$1.3239 and over,8932,12,13.4,46.1,32.1,0.2,1.9,0.1,39.2,15,1242.2,622.7,14.3,7.2,0.9,2,50.1,10.8,25.6,3.7,17.5,76.4,0,1,0.2,,,107981295,12855,159992377,10513,14,105743,118303,110091,20.1,94
Jarrell,Non-metropolitan Fast Growing,"$710,768 to < $836,577",$1.3239 and over,4735,8,15.6,53.7,26.5,0.5,0.6,0.1,82.8,36.3,814.9,351.3,13.5,8.3,1.7,2.6,54,11.5,21.1,6.5,16.6,74,1.1,0.6,0,,,67435327,14484,60624097,11331,6,103017,91750,84638,25.7,89.4
Killeen,Other Central City,"$164,606 to < $234,712",$1.0809 to under $1.2148,3887,5,12.2,37.2,44.7,0.3,0.5,0,76.2,22.3,558.7,271.6,14.3,7.3,0.6,3.1,43.6,13.9,27.3,9.6,11,77.9,0.7,0.4,0,,,47750922,12104,42453594,9573,51,57086,59513,69527,18.6,88.6
Lago Vista,Non-metropolitan Fast Growing,"$1,039,446 to < $1,892,208",$1.0809 to under $1.2148,1803,4,0.6,27.6,65.5,0.6,0.2,0.2,21.9,6.8,196,120,15,9.2,3.1,5.4,61.2,10.8,9,0.8,4.4,94,0,0,0,,,21600448,13391,24953346,9983,4,89034,94319,108156,17.9,95.2
Lake Travis,Major Suburban,"$1,039,446 to < $1,892,208",$1.3239 and over,10953,11,1.6,20.1,67.2,0.3,5.7,0.1,9.9,6.8,1255.2,673.3,16.3,8.7,0.6,2.6,53.6,8.3,24.7,0.9,11.1,85,0.4,1.8,0,,,148916095,13575,160413901,9288,12,59648,177997,140460,20.2,94.6
Lamar,Other Central City,"$479,670 to < $526,224",$1.2148 to under $1.3239,3632,6,23.9,54.6,16.2,0.7,1.4,0.2,86.8,23.3,581,256,14.2,8.4,0.6,2.8,51.3,10.1,22.8,7,17.9,74.8,0,0,0,,,55170183,16673,51760073,13186,2,82929,104577,123018,15.8,94.4
Leander,Major Suburban,"$674,066 to < $710,768",$1.3239 and over,41543,46,4.5,26.3,50.4,0.3,12.3,0.1,18.5,10.3,5289.8,2970.3,14,7.9,0.5,2.3,56.2,11,18.1,2.7,13.1,80.4,0.2,1.8,0.2,,,512514790,12733,591819136,9534,47,129684,153794,125385,16.8,97.5
Liberty Hill,Non-metropolitan Fast Growing,"$602,435 to < $674,066",$1.3239 and over,6824,11,2.1,24.8,63.8,0.3,3.4,0.1,20.6,5.8,790.6,438.3,15.6,8.6,0.6,3,55.4,12.9,17.9,0.7,11.4,86.6,0,0.2,0.2,,,71058725,12871,122052394,9130,12,93198,137917,128029,16.1,93.7
Lipan,Rural,"$573,876 to < $602,435",$1.2148 to under $1.3239,284,1,1.8,44.4,51.8,0,0,0,44,20.1,55.6,30.9,9.2,7.2,1.6,4,62.3,9.2,13.3,0,0,100,0,0,0,,,4276919,15385,8958739,13775,1,66875,84102,120369,12.9,96.8
Magnolia,Other Central City,"$539,089 to < $573,876",$1.2148 to under $1.3239,13613,17,2.5,38,55.6,0.3,1.1,0.1,49,16.5,1711.5,900.4,15.1,8,1.3,2.4,52.6,9.1,24.4,1.4,12.2,84.5,0.4,0.6,0,,,167571074,12837,163626026,10618,5,105736,104463,109206,21.2,95.1
Manor,Major Suburban,"$602,435 to < $674,066",$1.3239 and over,9029,15,20.2,65.6,6.9,0.3,4,0.1,79.1,45,1250,607.5,14.9,7.2,1.2,5.4,10.7,48.6,7,19.6,30.1,44.5,0.5,1.7,0.5,,,133223650,14446,151010802,10866,1450,96657,98152,97472,30,92.3
Montgomery,Other Central City,"$710,768 to < $836,577",$1.2148 to under $1.3239,9328,11,3.4,17,75.1,0.3,0.8,0.1,31.4,3.2,1058.2,583.5,16,8.8,1.5,2.6,55.1,8,24.2,1.5,6.3,91.3,0.2,0.5,0,,,109522932,12300,106341510,9233,2,114534,114534,162623,12.9,97.2
Needville,Non-metropolitan Stable,"$340,843 to < $359,962",$1.3239 and over,3378,4,3,48.1,46.8,0.2,0.4,0.1,39.3,9.9,404.5,223,15.1,8.4,0.7,3,55.1,16.5,20.1,4.5,9.2,86.3,0,0,0,,,42166201,12774,39930189,10396,5,67875,74806,89902,12.4,98.4
New Braunfels,Other Central City,"$674,066 to < $710,768",$1.2148 to under $1.3239,9638,15,1.9,47.3,46.3,0.3,1,0.2,36.5,11.2,1138.2,595.4,16.2,8.5,1.3,3.4,52.3,10.5,21.7,1.5,23.9,73.1,0.2,0.8,0.2,,,113301721,12259,129832964,8834,17,46435,118696,92278,16.8,95.1
New Caney,Other Central City,"$298,152 to < $340,843",$1.3239 and over,17098,20,5.6,62.2,27.3,0.4,1.9,0.2,67.2,35.9,2284.7,1078.9,15.8,7.5,0.7,2.4,47.2,9.9,28.4,5.7,26.6,64.6,0.5,1,0.1,,,224512361,13813,284607118,11256,18,62990,81363,92662,18.9,94.2
Pflugerville,Major Suburban,"$602,435 to < $674,066","
$1.3239 and over",25348,33,15.5,48.5,22.4,0.2,8.4,0.2,45.7,25.5,3419.8,1855.6,13.7,7.4,1.4,2.7,54.3,12,19.2,8.3,21.3,65.5,0.3,2,0.3,,,357941728,14088,476833139,10904,37,91567,94320,109821,19.1,96
Rogers,Non-metropolitan Stable,"$234,712 to < $298,152",$1.0809 to under $1.2148,17818,22,10.5,24.2,56.9,0.6,3,0.2,25.8,9,2058.1,1076.4,16.6,6.5,2.9,4.4,53.8,11,19.9,3.8,9.6,83.4,0.7,0.7,0.1,,,200668544,11903,244179181,9431,2,69866,72500,68269,9.1,96.9
Round Rock,Major Suburban,"$710,768 to < $836,577",$1.2148 to under $1.3239,45990,57,8.3,30.2,35.9,0.4,20.2,0.2,22.2,13.5,6341.2,3445.4,13.3,7.3,0.6,2.8,54.3,10.7,21,4.3,17.8,72.5,0.5,3.3,0.1,,,565047009,11734,733964830,10015,7,91888,136628,102675,15.9,95.9
Salado,Other Central City,"$526,224 to < $539,089",$1.3239 and over,322,2,0,9.3,85.7,1.6,0,0.3,43.8,0,52,29.2,11,8.1,1.1,3.3,54.9,13,21.6,0,0,100,0,0,0,,,5933899,18602,4696695,12094,4,89348,94715,104189,20,98.8
San Marcos,Other Central City,"$836,577 to < $949,515",$1.0809 to under $1.2148,8136,11,4.1,73.2,20.1,0.1,0.7,0.1,77.8,16,1240.2,571.8,14.2,6.6,0.9,2.7,46.1,10.8,29.2,5.1,38.2,54.4,0.5,1,0.5,,,112776031,14109,133296638,11419,2,44014,65146,50415,18.2,80.4
Splendora,Other Central City,"$234,712 to < $298,152",$1.3239 and over,4362,7,1.3,44.4,51.9,0.1,0.3,0,60.8,23.2,655.2,299.7,14.6,6.7,2,3.1,45.7,11.5,29.8,2.5,13.2,81.1,0.3,0.7,0,,,54491971,13146,67648982,11422,4,55703,72934,94130,21.9,93.5
Stafford,Non-metropolitan Stable,"$836,577 to < $949,515",$1.2148 to under $1.3239,3511,5,41.1,46.3,3.3,0.2,7.1,0.1,74.1,22.1,473.6,241.6,14.5,7.4,1.5,3,51,9.1,27,41.6,23.2,21.8,0.4,11.3,0,,,47147827,14218,54428880,12889,3,87245,85459,88875,25.1,95.5
Taylor,Non-metropolitan Stable,"$427,868 to < $456,750",$1.3239 and over,3014,7,8.2,63.1,25,0.3,0.6,0.4,49.8,16.1,456.1,212.2,14.2,6.6,1.5,3.2,46.5,12.6,25.5,4.5,19.2,75,0,0.9,0,,,42909998,14502,53163336,11835,8,35254,80990,67191,28,91.2
Temple,Other Central City,"$456,750 to < $479,670",$1.2148 to under $1.3239,366,4,89.1,8.7,1.4,0.3,0,0,90.4,0,58,33,11.1,6.7,1.8,3,48.1,13.6,19.2,51.5,12.1,6.1,0,27.3,0,,,5155092,11330,4582703,10036,19,61003,50756,46592,22.8,92.8
Thrall,Rural,"$359,962 to < $411,857",$1.2148 to under $1.3239,786,3,2.3,30.9,63.2,0,0.5,0,29.4,4.3,109.1,59,13.3,7.2,1.5,2.7,54.1,9.6,22,1.7,8.5,88.1,0,0,0,,,10899249,14027,10320373,11738,1,47500,131308,102813,23.8,98.3
Tolar,Rural,"$359,962 to < $411,857",$1.2148 to under $1.3239,706,1,0.1,19.4,77.1,0.7,0.1,0,29.3,6.2,121.8,66.1,10.7,7.6,1.3,2.7,58.7,8,23.5,4.5,0,92.9,1,0,0,,,12007032,16314,10790197,11502,2,89135,75648,97115,21.6,97.8
Troy,Non-metropolitan Stable,"$234,712 to < $298,152",$1.2148 to under $1.3239,1050,3,11,12.3,71.7,0.5,0.5,0.2,53.2,4,174.9,88,11.9,7.4,1.7,4.1,51.2,17,21.7,2.3,2.3,94.3,0,1.1,0,,,13861431,13603,13227354,12452,2,64694,67188,106691,21.7,99.1
Willis,Other Central City,"$539,089 to < $573,876",$1.2148 to under $1.3239,8395,12,7.3,37.4,50.8,0.4,0.8,0.1,56.9,15,1039,479.2,17.5,8.1,0.8,2.7,46.1,11,30,4.6,12,82.3,0.2,0.4,0,,,94079409,11994,123306060,9148,3,58644,79652,79320,22.6,94
