Total_Enrolled_Students,Community.Type,Property.Wealth,X..of.Students.Identify.as.Caucasian,X..of.Students.Enrolled.in.ESL.Classes,Total.Staff..FTE.,Total.Number.of.Teachers..FTE.,X.Staff....Central.Administrative,X.Staff....School.Administritative,X..of.teachers.who.Identify.as.Caucasian,Total.Operating.and.Other.Revenue..2020.2021.....,Total.Operating.and.Other.Revenue.per.Pupil..2020.2021.....,X..of.School.Nurses,Median.Household.Income..if.required..can.family.afford.hat.sunscreen....Community,Teacher.Turnover.Rate,ISD
686,1,3,80,17.15,107.73,67.19,0.9,1.9,98.4,8313630,12371,1,70917,18.8,Anton
2621,2,5,56.7,222.785,364.47,193.66,1.5,3.8,85.6,40246238,15222,0,55882,10.6,Atlanta
493,1,1,90.3,14.297,82.61,40.95,2.6,2.6,100,6810191,14459,2,61071,21.3,Avinger
137,1,2,69.3,2.055,NA,NA,3.5,5.6,77.5,2494776,17820,NA,24861,22.1,Beckville
1132,2,3,58.5,14.716,225.84,105.05,1.7,4.7,67.6,19461803,15900,4,43566,22.1,Big Sandy
2491,2,1,29.3,792.138,385.14,174.38,2.3,3.7,78.8,35296062,14301,7,53201,28.4,Bloomburg
74,1,2,69.1,10.878,23.24,10.43,2.6,5.1,100,1393888,19632,0,43438,32.5,Carlisle
711,1,2,79.6,49.059,114.03,55.68,1.8,4.8,98.2,11007131,16502,1,44145,11.2,Carthage
455,1,1,23.7,95.55,82.24,40.7,1.3,5.1,77.1,7566344,15133,1,31217,13.8,Cayuga
705,1,1,56,53.58,114.68,64.87,2.2,4,73.1,10947470,16894,1,46156,22.5,Center
19818,3,1,38.8,1288.17,802.13,382.88,0.9,2.7,93.4,156574420,10264,1,69614,15.9,Elkhart
705,1,1,86.5,11.985,120.94,65.44,0.8,2.6,93.6,9902820,13869,1,161795,15.4,Excelsior
130,1,5,46.3,6.76,37.01,12.67,5.7,4.3,45.5,2815700,19690,1,NA,22.4,Frankston
5057,2,2,22.1,986.115,726.26,334.53,1.4,2.6,48.8,62149292,12295,5,47116,29.3,Garrison
825,1,2,51.5,70.125,158.43,72.15,2.1,3.5,86.1,13045689,15832,1,55534,27.9,Gary
1879,4,1,53.8,41.338,358.42,154.34,1.4,2.7,88.1,26872807,14613,4,59957,14.9,Gilmer
256,1,1,88.8,5.376,49.16,24.15,4.6,6.9,100,3551940,14265,0,66250,12.5,Hallsville
1149,2,1,73.6,55.152,208.35,108.77,1.4,3.1,90.9,14281993,12740,2,38125,13.3,Harleton
660,1,2,65.8,38.28,136.64,64.57,5.4,4.4,89.4,9103659,14543,2,46028,30.8,Harmony
414,1,1,92.2,0,64.24,35.97,3.5,3.3,98,4928273,12477,1,36111,11.1,Hemphill
954,2,3,75.1,2.862,173.44,93.55,1.8,3.4,92,19492966,20326,0,41063,22,Henderson
170,1,2,20.3,11.22,35.46,19.5,2.8,3,85.3,3202671,17406,1,44712,30.1,Hughes Spring
2691,2,2,21.3,231.426,474.96,216.89,1.4,3.4,73.5,41348115,14873,5,47485,27.4,Jefferson
546,2,1,69.5,9.828,86.53,51.53,1.2,3.5,87.5,7140903,15033,1,70313,24.6,Joaquin
592,1,5,38.2,23.68,99.25,57.31,1.9,4.1,0.6,9104373,16143,1,51250,8.6,Karnack
234,1,2,56.4,1.872,34.81,20.25,3.1,2.1,89,2721104,15461,0,71818,22.8,Kilgore
623,1,1,39.7,173.194,123.59,60.41,1.6,4.5,86.7,11307746,18477,3,44006,23.5,Laneville
3400,4,2,43.4,520.2,550.15,242.24,1.7,2.9,81.2,41474317,12425,5,NA,22.4,Levelland
150,1,3,23.7,22.05,33.76,15.63,2.9,5.4,76.2,2776872,17036,1,48661,21.2,Leveretts Chapel
234,1,1,47.1,62.244,47.07,26.37,2.9,4.5,84.3,3613943,15313,0,NA,9.6,Linden-Kildare
496,1,1,75.8,20.336,80.05,42.39,1.4,2.1,92.7,6115810,15176,1,55326,25.1,Marshall
494,1,1,70.4,11.362,96.89,49,2.1,2.2,94,10998827,23058,1,60610,20.5,Mcleod
1476,3,3,45.7,219.924,228.82,107.51,1.9,2.8,83.5,20191579,13736,1,80845,16.3,Mount Enterprise
1048,2,2,54.6,118.424,165.84,76.81,2.4,4.7,98.7,13952041,13585,1,40582,13.1,Nevhes
760,1,1,66.6,20.52,98.18,56.41,2.1,5.2,93.2,8868103,12871,1,58262,27,New Diana
3821,3,2,44.7,852.083,561.52,276.17,1.6,3.1,77.9,47750922,12104,5,59733,21.8,Ore City
671,1,2,68.7,42.273,119.68,61.87,2.8,3.8,94.9,9626307,14994,1,43403,36.8,Overton
2825,3,2,58.7,262.725,477.52,198.6,2,2.7,86,40741713,16238,5,52013,11.9,Palestine
1009,2,2,76.3,61.549,183.56,88.02,2.2,2.9,98.9,13190475,12869,1,54648,10,Queen City
1186,3,1,75.2,17.79,167.38,97.62,2.4,3,96.1,16140976,13796,3,85390,15.1,Ropes
825,1,1,68.3,70.125,171.28,84.14,2.1,4.2,91.5,13493056,14540,2,45536,20.2,Slocrum
761,1,1,86.7,17.503,108.6,67.52,1.8,3.9,93.1,10193413,14138,1,65523,24,Sundown
254,1,2,73.9,5.334,61.07,30.2,3.2,4.8,93.8,5115980,16664,1,71639,27.7,Tatum
901,2,3,73.7,16.218,162.81,81,0.6,3.8,86.4,14547664,16550,3,41646,19.7,Tenaha
608,1,1,82.6,3.04,94.62,53.27,3.3,1.1,92.1,8013417,14133,3,42261,15.8,Timpson
594,1,3,79.1,5.94,123.27,48.4,1.5,5,91.7,10600571,19814,1,61493,19.1,Union Grove
1194,2,1,80.3,32.238,188.98,104.5,1.1,2.1,90.5,16544197,13787,1,65253,13.9,Union Hill
802,1,2,75.2,32.882,141.64,68.02,1.4,3.5,93.3,10632871,13845,3,60404,21.6,Waskom
310,1,2,75.1,6.2,62.2,28.07,3.1,5,93.5,5044735,14925,1,63214,18.3,West Rusk County
3297,4,2,27.3,530.817,561.63,251.42,2.1,3.4,74.6,59631485,17549,6,46328,17.9,West Sabine
349,1,2,87,2.094,68.63,37.63,4.1,3.4,100,5339355,14588,1,48446,14.6,Westwood
1414,2,2,48,96.152,253.32,106.03,1.1,4.6,80.9,18304035,13538,4,46056,30.6,Whitharral
